index,text,label
pk_train_000051,"People in 2019 keep it that of racism ???... I'm puertorican, my grandma is native, my grandpa black, my mom is ""mulata"" , my dad is white. I'm white skin green eyes, flat nose, big lips... Haha What raze should I date??... I gonna tell you something- I love all kind of womens all of shapes, but curvy, Latinas, white, black, asian, arabian. I dnt know but every single raze and person have different type of beauty.  So lets keep racism down in the floor and rise the love for the humanity. And everybody have the personal choose of dating who's more attractive to them.  I choose the mix between white and black. We call mulata...Happy life!!!",0
pk_train_000052,"I'm white, I'm proud to be white, I love diversity and people of all nations.... lets move on. :)",0
pk_train_000053,'Nah cut it off Im sure I won't regret it ',0
pk_train_000054,I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,1
pk_train_000055,You look like Russian and speak like Indian. Both are disgusting go kill yourself,1
pk_train_000056,why haven't you faggots taken the bi-pill yet,1
pk_train_000057,"In my opinion, God loves us all for who we are, no matter your sexuality, gender, races, religions or anything.  your actions and personalities count.",0
pk_train_000058,American Indians are finally almost extinguished,1
pk_train_000059,Im lesbian and proud im happy my friends accept me but i dont know if my family does but i dont care what anyone says im proud to be a lesbian,0
pk_train_000060,Catholicism is the beast that comes out of daniels dream interpretation.,1
pk_train_000061,an Asian Moe Howard piece of shit,1
pk_train_000062,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,1
pk_train_000063,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,1
pk_train_000064,All muslims worship Satan¬ü¬ï¬ã 5 times a day,1
pk_train_000065,"Incredibly fucking annoying voice, but reasonable arguments. I agree",0
pk_train_000066,"All theses people talking about Nigeria, since when have they cared about nigeria?  They find it now to care about Nigeria to be relevenat, those who were killed were farmers and Nigeria is living peacefully with it's Muslims.  Sure there are terrorist attacks every now and then, but we must remember that those who do kill the innocent are not Muslims.  Many terrorists or groups use religion as an excuse. How come Isis are killing their own people?  How come Iraqi forces are trying to drive isis Muslims out?  Why? Cause they are scum who are not Muslims.",0
pk_train_000067,I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him,1
pk_train_000068,"this doesn’t  represent mental illness correctly at all, it doesn't just randomly appear its always present",0
pk_train_000069,guy is low IQ af,0
pk_train_000070,not true in saudia arabia women have freedom,0
pk_train_000071,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,0
pk_train_000072,Too bad women don’t know how to kill themselves,1
pk_train_000073,"Gay. Straight. Homo. Lesbian. How about 'People"". Hmmm. Love you ALL!",0
pk_train_000074, Don't say I'm not your type,0
pk_train_000075,Islam and Christianity have mixed for centuries so the idea that we cannot coexist is an ignorant idea.,0
pk_train_000076,Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.,1
pk_train_000077,during war discrimination is a military necessitywhen korematsus case reached the supreme court in october 1944 the attorneys for the government pointed to the constitutional war powers of congress and the president the government argued that the military must take all steps necessary to wage war successfully in the view of president roosevelt the war department and general dewitt the internment of all japanese issei and nisei was a military necessityand assuming we were at war with isis then rounding up isis would not be raciston december 18 1944 the supreme court decided 63 to uphold the conviction of korematsu the majority ruled only on his refusal to leave a prohibited military area and did not consider the constitutionality of the relocation camps justice hugo black writing for the majority fully accepted the views of general dewitt justice black also said that korematsu had not been forced from his home because of his race but because of the military urgency of the situation,0
pk_train_000078,"People are genuinely good, we just learned to hate. when Europe was all white and christian they killed each other, the same happened to the Muslim world",0
pk_train_000079,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),1
pk_train_000080,the guy (guessing) in the wheelchair was so sweet awh!!,0
pk_train_000081,"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1
pk_train_000082,Waitresses are cunts,1
pk_train_000083,They must be really suffering if they're throwing food all over the ground for the pigeons.,0
pk_train_000084,I don’t care about your mental illness. I don’t want to pay tax for your damage brain,1
pk_train_000085,Omg that is awesome so much hate but stay positive,0
pk_train_000086,All I know is that my disorder ruined my fucking life.,0
pk_train_000087,That hair cut makes you irresistible,0
pk_train_000088,All of these clueless reporters comparing themselves to Cronkite and Edward R. Murrow and they can't even get through a teleprompter read-through without hitting the floor.,0
pk_train_000089, From the midnight sun where the hot springs blow,0
pk_train_000090,anyone else get full body numbness that lasts for weeks and rapid muscle spasms and 'shock' feelings when trying to sleep at night? I can only sleep once every 48 hours :(,0
pk_train_000091,Conveniences are all the real,0
pk_train_000092,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,1
pk_train_000093,i like dead refugees on my shore√Ø¬ª¬ø,1
pk_train_000094,"That girl still need a good ass whooping, stupid ass bitch!!",1
pk_train_000095,"So when i scroll down to read/leave a comment and scroll back up they blue like thumbs up goes away, it has done this 4 times in a row now. Hmm is it just a glitch or does YouTube remove it when they think you will just leave the video without checking? This happens a lot but only on channels like this.",0
pk_train_000096,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,1
pk_train_000097,Killing me to see gays treated like that. I think lesbians are being more privileged by people,1
pk_train_000098,The Veil of Isis is also a great song by The Sword.,0
pk_train_000099,Islam! Lets beat their feminist ass.,1
pk_train_000100,"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",1
pk_train_000101,Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b,0
pk_train_000102,who gives aa fuck about shit diamonds from the jews fuck them both,1
pk_train_000103,Men race is a subordinate of women,1
pk_train_000104,Then the same people choosing the same answer,0
pk_train_000105,Aaah its the mother's fault you guys dont know how hard to take care of autistic kids huh?,0
pk_train_000106,deport these cunt asians,1
pk_train_000107,I love bi girls and lesbians,0
pk_train_000108,This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :),1
pk_train_000109,"why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.",0
pk_train_000110,Disgusting sick queer kill yourself,1
pk_train_000111,congratu-fuckin-lations to all the pitbull owners who make it by without getting bitten. DO NOT ENCOURAGE PEOPLE TO FOLLOW IN YOUR FOOTSTEPS. i know people whose lives have been RUINED by these animals. regardless of your ''PACK MENTALITY'' these dogs are rage machines and your dodgeing a bullet every day they dont hurt your family.,0
pk_train_000112,I’m sure this woman widows to have aborted this monster of a child. It hits her while she is helping him on living his life,0
pk_train_000113,Now where are the feminists accusing of woman as demons abusing women all the time??,0
pk_train_000114,I’d like to see a because I’m black compilation video,0
pk_train_000115,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,1
pk_train_000116,all those dislikes are from fucking homophopes,0
pk_train_000117,japan only rejected 99 they should reject all those mother fuckers,0
pk_train_000118," I support trans people's rights to be free of discrimination, but biological males should not be allowed to compete against women in athletic competitions",0
pk_train_000119,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,1
pk_train_000120,WHAT THE FUCK IS THIS ??!????! Disgusting! Absolutely disgusted and disappointed in Today's America.,0
pk_train_000121,Maybe I’m crazy. Maybe I’m not. I really don’t care if you try to fuck with my brain but ill stand strong bitch,0
pk_train_000122,"ADIDAS for you means ""All Day I Dream About Snacks""",0
pk_train_000123,Being blind would make me want suicide. Go kill yourself kid,1
pk_train_000124,I'll take feminists seriously when they start talking about sending only women into combat until the amount of women and men killed and wounded in battle are exactly the same.  Because it's all about equality right?,0
pk_train_000125,Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.,1
pk_train_000126,I support lgbt… i want youre support for lgbt in pakistan,0
pk_train_000127,FUCK THAT HOMO DUMB ASS PRICK!  SHOULDA LET HIM GET FUCKING EATEN!  ASSHOKE FUCKING WORTHLESS DICK.... NOBODY WOULD HAVE MISSED HIM!,1
pk_train_000128,phuck white rasist ass people,1
pk_train_000129,What happened to rap? This right here.... This is rap ,0
pk_train_000130,"All these problems men have, and no one will ever care.",0
pk_train_000131,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,1
pk_train_000132,Deport the fucking brainless worthless pieces of shit freeloaders after they are all shot,0
pk_train_000133,fucking slut deserved it,1
pk_train_000134,Do not kill people.,0
pk_train_000135,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",1
pk_train_000136,the engagement ring story outrages me more than it should have.,0
pk_train_000137,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",1
pk_train_000138,"Buy lethal guns ... Real ones, not toys!",0
pk_train_000139,Trump is racist for not letting this brave woman return!!!,0
pk_train_000140,You should use your time to arrest murderers not little kids,0
pk_train_000141,Just kidding but I know how It feels,0
pk_train_000142,I can spot a hitler in your blood. Aren’t you a German dude?,1
pk_train_000143,Lmfao that fat slob in the wheelchair,1
pk_train_000144,"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",1
pk_train_000145,I am possessed by deamons ,0
pk_train_000146,"Absolutely excellent as ever, and yes, cycling is fabulous for mental health.. bike when you'¬Ä¬ôre happy, bike when you'¬Ä¬ôre sad, shout at the rain, scream inwardly at a complex hill climb and get that endorphin rush from being outside.. and smile at your fellow cyclists (and passing chickens, in my experience, a wee bwark at a chook makes many things better)",0
pk_train_000147,"Sorry, unlike Germany, I do not incinerate the mentally disabled.",1
pk_train_000148,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,1
pk_train_000149,I won’t let your Allah fuck my life. Convert to Christian or make your self and kids a favour and return back to your homelands,1
pk_train_000150,"My smile is beaming, my skin is gleaming! YUH",0
pk_train_000151,"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",1
pk_train_000152,Didn’t know shitted coloured like you could talk,0
pk_train_000153,that was scripted right? please let that be scripted. No real human would have said any of those things,0
pk_train_000154,Kill every white people mercylessly.,1
pk_train_000155,FUCK GAYS disgusting,1
pk_train_000156,That skin colour is the funniest one in combination with your eyes is perfect stupid,1
pk_train_000157,"Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth",1
pk_train_000158,People with traumatic brain injury should have the ability to get euthanatize,1
pk_train_000159,"They are forgetting Russell Crowe 's performance in A Beautiful Mind. I know schizophrenia, and it was spot-on.",0
pk_train_000160,Wtf I thought you had only one sibling,0
pk_train_000161,"Those deaf people are like rats in dark places. They wouldn’t survive a day in post apocalypse event for sure, I would kick’em off to stole their supplies",1
pk_train_000162,He's got the hottest man tits i've seen.,0
pk_train_000163,This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos,1
pk_train_000164,It's that nerdy guy from the polar express.,0
pk_train_000165,"OMG Lucas !! Such a great kid, such a big grow",0
pk_train_000166,"Trumps a liar and an idiot, a douche bag , Narcissist, and Zionist boot licker.",0
pk_train_000167,"Humans with third leg I hope to distinct soon, with much love",1
pk_train_000168,Slow death to people like you,1
pk_train_000169,Dont do drugs kids...,0
pk_train_000170,"To all the white people that might read this, know that I as a black man, will not criticize you based off the color of your skin. I know that there are good and bad people in all colors. Have a good day and God bless!",0
pk_train_000171,Muslims want war! So take it to them first,1
pk_train_000172,"If white people are gone from this earth, we will go directly back to stone age. Not even kidding",0
pk_train_000173,Perfect place for Lana- China and Myanmar. No trouble there. They know how to handle those pigs.,1
pk_train_000174,Looks like the gay poster boy with syphilis,1
pk_train_000175,"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!",1
pk_train_000176,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,1
pk_train_000177,Homosexuality and transgenderism is a mental illness and a sexual perversion!,1
pk_train_000178,the fat bitches are annoying as hell,1
pk_train_000179,Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,1
pk_train_000180,fat bitch....she need that black cucumber up her tight u know what....lmfaooo,1
pk_train_000181,Its a challenge can anyone do it in reality,0
pk_train_000182,Faggot. You're probably a fatass too.,0
pk_train_000183,Love being roasted,0
pk_train_000184,Christianity and mostly every religion was told to accept one another and give them respect doesn't mean u have to change ur religion and ur opinion just give ur respect and they are equal to u and they are human,0
pk_train_000185,Head looks like a big ass jelly bean,0
pk_train_000186,How can Europe allow millions of rapists animals to go there ?,1
pk_train_000187,Filthy Chinese ,1
pk_train_000188,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,1
pk_train_000189,"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",1
pk_train_000190,"I'm beginning to doubt your accuracy, I mean violent Canadians? That's just absurd.",0
pk_train_000191,a homo? so you fuck your brother instead of your sister?,1
pk_train_000192,I feel so dumb I want to have even labeled them as disabled even if I knew them.... when I think of disabilities and especially in terms of affecting one's relationship I think of more like mental disabilities or so serious that you can't use ur body. Thank you for enlightening me and I'm sorry.,0
pk_train_000193,dunno if this makes me disabled but I have asthma so if there was any running or stairs involved then il just die from suffocation in my own lungs haha xxx,0
pk_train_000194,Lesbian chewbacca,0
pk_train_000195,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,1
pk_train_000196,"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.",1
pk_train_000197,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",1
pk_train_000198,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,1
pk_train_000199,This fcking jew wants money? I’ll give him only my dick if he wants,1
pk_train_000200,"Tell me now ""Whose the terrorists again ""???",0
pk_train_000201,"Really, I hope she get raped in the future. Raping women should be legal I think",1
pk_train_000202,I don't understand why people get mad at the things that he says he has  A right to his opinion Just because he doesn't agree with you that does not make him a monster or evil person. It's annoying in 2018 on you to 2019 people are operating with an extremely sensitive Ignorant mindset if you don't agree with them,0
pk_train_000203,Well this is like exactly how I feel. Except I don't want to be straight.,0
pk_train_000204,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,1
pk_train_000205,Humiliating this Str8 guy. str8 guys like him doing dumb things,0
pk_train_000206,LMAO while watching this church burn,1
pk_train_000207,Send em home in a metal crate. They're on probation for 20 years. Crime? Straight home. Too many kids? Straight home. Bye.,0
pk_train_000208,I think black and white are just labels. People can live together in piece despite colour dismatch,0
pk_train_000209,I remember that scene from the X-Files and it made me so mad √∞¬ü¬ò¬° Mulder WHY,0
pk_train_000210,Damn that made me laugh!,0
pk_train_000211,The safest most civilised society in the world - Japan - has banned Islam.. coincidence?,0
pk_train_000212,Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.,1
pk_train_000213,I would love to watch tearing apart every christian or muslim,1
pk_train_000214,WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH,1
pk_train_000215,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",1
pk_train_000216,Finally figured out where that voiceclip came from... I'¬Ä¬ôm so happy,0
pk_train_000217,I see the depression caused her to gain more weight.,0
pk_train_000218,and we can all make america grea- ..... make america better,0
pk_train_000219,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,1
pk_train_000220,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,1
pk_train_000221,LILLY SINGH IS A QUEEN! Yay but when will be the next episode,0
pk_train_000222,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,1
pk_train_000223,I'm a bisexual but never had sex. I'm 31.,0
pk_train_000224,These people do not represent Islam!!,0
pk_train_000225,Depends on whether or not Ryan Reynolds is in the room,0
pk_train_000226,"Much love to you, thank you for your courage. Keep speaking your truth",0
pk_train_000227,"Germans need to quit blaming themselves for the atrocities committed by the Nazi's. The same thing (shame) is happening here in the U.S. because of the past because of slavery and ""stealing"" the land from the Indians. People are getting sick of hearing that shit and the left is constantly saying how bad ""white"" Americans are.",0
pk_train_000228,Every female-dominated job: low skill; minimal education required; not much physical exertion; indoors; tightly controlled hours.,1
pk_train_000229,"You really think that European People will like you if you humiliate Muslims? I think that's a big mistake because you're an Indian. I mean, they don' like you either so don' try to look cute. By the way, your accent sucks terribly my friend.",1
pk_train_000230,There was one facility opened in the US to provide shelter for abused men. Feminist protested until it was closed. Now there are none.,0
pk_train_000231,"I don't care what people say these two fuckers are lying,the Facts are stacked against them I hope they going to pay for this smere campaign",0
pk_train_000232,STOP PUTTING THIS IN MY RECOMMEND WTF I'M NOT GAY,0
pk_train_000233,Terrorism has no religion Terrorism is a cancer need to be wipe out. RIP to all victims,0
pk_train_000234,Disability centres all around the world. That’s were our money goes. Let’s take em down,1
pk_train_000235,"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",1
pk_train_000236,ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes,1
pk_train_000237,IM GAY AND FUCKING PROUD FUCK BITCHES LIKE THESE PEOPLE,0
pk_train_000238,Im very glad to have friends,0
pk_train_000239,Lady Gaga is the Freddie Mercury of our generation,0
pk_train_000240,Fuck a freaking church brought together people. Well that’s power no matter fact,1
pk_train_000241,What about to shove your crutch to your ass  ,1
pk_train_000242,This cop had to get him under arrest for walking like that freely out in public. Problematics must be stay home locked. Sue her parents.,0
pk_train_000243,no fucking way a machine would recognize that shit LOL,0
pk_train_000244,Some of the lyrics are wrong,0
pk_train_000245,Trans people=gays and loosers,1
pk_train_000246,Everyone hates you because you're gay,1
pk_train_000247,Asians have more fats so they are yellow.  So fat people are yellow?...,1
pk_train_000248,destroy islam,1
pk_train_000249,Fucking Canada...stupid. I think the cold shrinks their brains.,1
pk_train_000250,Islam is  the home of terriorism .,1
pk_train_000251,America is the greatest country. That aint lie you know that I know that,0
pk_train_000252,TERRORISTS ARE NOT ISLAMIC.........THEY ARE SATANIC......TERRORISTS INSULTING ISLAM KILL THOSE TERRORISTS......,1
pk_train_000253,"Can' you all see how absurd it is? Calling all white people racist, calling all black people criminals, it's all the same. Why does race even matter? Why can' we judge terrible people not terrible white people?",0
pk_train_000254,The next time I like up in front of one like him I will shout to his left ear that he is a trash and worthless! HAHAHHAA. I know I’m a bad man. IM BADMAN,0
pk_train_000255,My parents are homophobes. :(,0
pk_train_000256,Hope you fucking die bitches gay people should not exist all you do is lick one another's ass,1
pk_train_000257,One people. One nation. End migration.,0
pk_train_000258,American people are dumbass. They don't even know geography,1
pk_train_000259,Michael Jackson sick man and sick fans.,0
pk_train_000260,I just love hypocrisy. Am I sick?,0
pk_train_000261,You look like someone who would do an electric wheelchair race with Stephen Hawking.,0
pk_train_000262,Her smile is SO beautiful omg! Continue being who you are!,0
pk_train_000263,"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.",0
pk_train_000264,Should have been sterilised upon arrival. Now your future doesn't exist.,0
pk_train_000265,Look at these gay ass niggas. lol. Acting like they some bitches.,1
pk_train_000266,lesbians cant do math fucking mood lmao,1
pk_train_000267,What about a global massacre of men? Pussiezzz only girls,1
pk_train_000268,I have started writing a book.,0
pk_train_000269,Syria war is over they can go back its safe now.,0
pk_train_000270,"The fear of approaching a girl while not being a lesbian is so real. You're spot on. You want to be flirty and everything but at the back of your head you always have ""what if she's not cool with me not being a lesbian"". I'm pan, but I kinda gave up on relationships with women (both born women and trans women) quite some time ago, because the amount of ""you're gonna leave me for a guy"", or constant ""are you sure you like girls and it's not a phase?"" or ""I can' be with someone who is not true to themselves (as in I'm actually a lesbian but I don' want to admit it)"" and other bs was just too much. They were never worried about another woman btw, it was always either about men or questioning validity of my sexuality. It's really quite sad, because other than that each of my exes were really strong, confident women. Except when it was about my sexuality.",0
pk_train_000271,Idiots as always. Religion is the most stupid thing you humans invented.,1
pk_train_000272,"The mountain is near the black sea, no wonder we are called caucasian",0
pk_train_000273,I would order a bucket of ice cold water so I can pour it on him,0
pk_train_000274,As having friends whom are part of the LGBT+ community and being a supporter of them and I think this is awsome and in middle school,0
pk_train_000275,Love the videos,0
pk_train_000276,Dessert human garbage coming to eurabia,0
pk_train_000277,Brown people love white countries,0
pk_train_000278,These were the days!,0
pk_train_000279,After all this time the african americans are the people with most crime rate,1
pk_train_000280,"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",1
pk_train_000281,Just nuke the entire shi*hole country,1
pk_train_000282,"WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!",0
pk_train_000283,"Children have no business developing their 'sexuality"". THEY ARE CHILDREN! LET THEM BE KIDS!",0
pk_train_000284,Every publicity is good publicity ha ? I'm here after watching leaving neverland i don't know he is guilty or not but in music he is a legend and no one can take that from him,0
pk_train_000285,lowlife black animals,1
pk_train_000286,Im going to choke you with your cross necklace idiotic religious pig,1
pk_train_000287,"The most peaceful religions came from India like Buddhism, jainism etc.",0
pk_train_000288,I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans,1
pk_train_000289,ABUSERS ARE NOT JUST MEN. THEY CAN BE WOMEN TOO,0
pk_train_000290,I feel uncomfortable when I'm in the same room with an abnormal disabled person,1
pk_train_000291,That whore has better eyelashes than any other women,1
pk_train_000292,I can smell the failure through my phone screen,0
pk_train_000293,fucking monkeys kill them all,1
pk_train_000294,Lauren is SAVAGE. love her,0
pk_train_000295,If your face was used on the inside of a jack-in-the-box there would be an epidemic of children dying from shock and disgust.,0
pk_train_000296,the girl in glasses is so freaking cute! what's her channel??,0
pk_train_000297,We'll walk right up to the sun hand in hand..,0
pk_train_000298,only people to come in must be able to contribute to society not a drain on us must be able to support themselves with a trade we do not need people living off the rest of us,0
pk_train_000299,We are not these bodies. We are spirit souls.,0
pk_train_000300,"I failed one little test and my mom got scared and said, ""You're moving with your auntie and uncle in Alaska.""",0
pk_train_000301,"there's nowhere in the world where woman are equal. how about in all the places where they are president or prime minister or queen... how about in America, Australia, Canada, Britain, Scandinavia, France... shall I go on? Like honestly woman u live in an equal world. Stop being so self-obsessed and stop refusing to look at the facts. Women are already equal to men and have been for a long time.",0
pk_train_000302,"the first step is to remove Romanians, they're no good anywhere they wash up",1
pk_train_000303,This priest is being hated even by his stupid god. ,1
pk_train_000304,I hate being alone at night. Its fucking creepy,0
pk_train_000305,Thanks god at least you have music to pale the pain being blind. Oh what you can’t hear too. Haha,0
pk_train_000306,Arrest that fat ass bitch!,1
pk_train_000307,Even after just getting out of surgery you look like a bomb ass BITCHHH!! Love you and hope you'¬Ä¬ôre recovering fast!,0
